Energy Source,Energy Type,Installation Cost (INR per kW),Land Requirement (Acres per MW),Generation Cost (INR per unit),Manpower Required (per MW),Automation Level,O&M Cost (% of Capital),Purpose of Energy,CO2 Emission (kg per kWh),Effect on Global Warming,Effect of Natural Disaster,Available Employment,Sustainability,Cost of Natural Resource,Percentage of Generation (India),Effect on Economy,Government Subsidy Availability,Selling Price per Unit (INR),Transmission Loss (%),Shutdown Risk,Generation of Electricity (kWh per kW per year)
Fossil Fuel,Non-Renewable,52965,0.94,6.86,15,Medium,4.95,Electricity,0.828,High,Medium,High,Non-Sustainable,2951,53.17,Negative,Low,7.43,20.6,Medium,8126
Tidal/Wave,Renewable,131277,4.27,6.6,5,High,3.75,Electricity,0,Very Low,High,Low,Sustainable,0,1.97,Positive,Low,7.19,9.2,Medium,4459
Wind,Renewable,54559,2.19,3.31,5,High,2.05,Electricity,0.02,Very Low,Medium,Medium,Sustainable,0,34.77,Positive,High,4.29,7.25,Low,2860
Solar,Renewable,41085,5.45,4.37,5,High,1.44,Electricity,0.046,Very Low,Low,High,Sustainable,0,24.7,Positive,High,4.16,7.99,Low,1470
Fossil Fuel,Non-Renewable,46733,0.98,6.09,16,Medium,4.93,Electricity,0.847,High,Medium,High,Non-Sustainable,3081,49.84,Negative,Low,8.55,19.8,Medium,8130
Wind,Renewable,64737,2.04,3.8,5,High,1.88,Electricity,0.018,Very Low,Medium,Medium,Sustainable,0,34.22,Positive,High,3.82,7.46,Low,2071
Wind,Renewable,65583,2.04,3.34,5,High,1.87,Electricity,0.018,Very Low,Medium,Medium,Sustainable,0,34.26,Positive,High,3.83,6.32,Low,2700
Biomass,Renewable,72896,3.14,5.27,9,Medium,3.4,Electricity/Heat,0.369,Medium,Medium,Medium,Renewable,2290,8.2,Moderate,Medium,5.8,9.13,Medium,7544
Fossil Fuel,Non-Renewable,51688,1.03,6.62,13,Medium,5.06,Electricity,0.879,High,Medium,High,Non-Sustainable,3566,58.84,Negative,Low,8.35,18.94,Medium,7121
Geothermal,Renewable,89888,1.51,4.43,5,High,2.76,Electricity/Heat,0.091,Low,Low,Medium,Renewable,527,2.89,Positive,Medium,5.51,7.57,Low,7466
Fossil Fuel,Non-Renewable,51044,1.01,6.11,17,Medium,5.1,Electricity,0.935,High,Medium,High,Non-Sustainable,3456,56.37,Negative,Low,7.67,18.42,Medium,8238
